ADC_filtered,ADC_diff,current,charging_time,time
787, -11, 16, 8.00, 28413368
781, -6, 16, 8.00, 28425520
777, -4, 16, 8.00, 28437528
771, -6, 16, 8.00, 28449528
767, -4, 16, 8.00, 28464164
763, -4, 16, 8.00, 28476168
761, -2, 16, 8.00, 28488164
759, -2, 16, 8.00, 28500152
759, 0, 16, 8.00, 28512216
756, -3, 16, 8.00, 28524136
753, -3, 16, 8.00, 28536128
753, 0, 16, 8.00, 28548128
752, -1, 16, 8.00, 28559996
749, -3, 16, 8.00, 28572060
748, -1, 16, 8.00, 28583992
747, -1, 16, 8.00, 28595920
747, 0, 16, 8.00, 28607848
746, -1, 16, 8.00, 28619724
745, -1, 16, 8.00, 28631716
744, -1, 16, 8.00, 28643644
744, 0, 16, 8.00, 28655576
743, -1, 16, 8.00, 28667436
742, -1, 16, 8.00, 28682132
742, 0, 16, 8.00, 28694048
741, -1, 16, 8.00, 28705920
741, 0, 16, 8.00, 28717856
740, -1, 16, 8.00, 28729720
740, 0, 16, 8.00, 28741652
740, 0, 16, 8.00, 28753528
738, -2, 16, 8.00, 28765464
738, 0, 16, 8.00, 28777392
738, 0, 16, 8.00, 28789324
737, -1, 16, 8.00, 28801204
736, -1, 16, 8.00, 28813204
736, 0, 16, 8.00, 28825112
736, 0, 16, 8.00, 28836980
736, 0, 16, 8.00, 28848920
735, -1, 16, 8.00, 28860856
735, 0, 16, 8.00, 28872920
735, 0, 16, 8.00, 28884860
734, -1, 16, 8.00, 28899500
733, -1, 16, 8.00, 28911488
734, 1, 16, 8.00, 28923464
733, -1, 16, 8.00, 28935404
733, 0, 16, 8.00, 28947400
733, 0, 16, 8.00, 28959324
733, 0, 16, 8.00, 28971260
733, 0, 16, 8.00, 28983204
732, -1, 16, 8.00, 28995124
732, 0, 16, 8.00, 29007120
731, -1, 16, 8.00, 29019060
731, 0, 16, 8.00, 29031100
731, 0, 16, 8.00, 29043100
731, 0, 16, 8.00, 29055044
731, 0, 16, 8.00, 29067048
730, -1, 16, 8.00, 29078976
730, 0, 16, 8.00, 29090976
730, 0, 16, 8.00, 29102908
730, 0, 16, 8.00, 29117576
729, -1, 16, 8.00, 29136268
729, 0, 16, 8.00, 29148200
730, 1, 16, 8.00, 29160140
729, -1, 16, 8.00, 29172076
728, -1, 16, 8.00, 29184008
728, 0, 16, 8.00, 29196004
728, 0, 16, 8.00, 29208008
728, 0, 16, 8.00, 29219952
728, 0, 16, 8.00, 29231820
727, -1, 16, 8.00, 29243692
728, 1, 16, 8.00, 29255692
728, 0, 16, 8.00, 29267632
727, -1, 16, 8.00, 29279568
727, 0, 16, 8.00, 29291572
727, 0, 16, 8.00, 29303516
727, 0, 16, 8.00, 29315452
727, 0, 16, 8.00, 29327468
727, 0, 16, 8.00, 29342048
726, -1, 16, 8.00, 29360752
726, 0, 16, 8.00, 29372680
726, 0, 16, 8.00, 29384552
725, -1, 16, 8.00, 29396484
725, 0, 16, 8.00, 29408476
726, 1, 16, 8.00, 29420420
726, 0, 16, 8.00, 29432356
725, -1, 16, 8.00, 29444232
725, 0, 16, 8.00, 29456228
726, 1, 16, 8.00, 29468164
725, -1, 16, 8.00, 29480108
725, 0, 16, 8.00, 29492096
726, 1, 16, 8.00, 29504028
725, -1, 16, 8.00, 29515964
725, 0, 16, 8.00, 29527956
725, 0, 16, 8.00, 29539884
725, 0, 16, 8.00, 29551820
725, 0, 16, 8.00, 29566464
724, -1, 16, 8.00, 29578396
725, 1, 16, 8.00, 29590324
724, -1, 16, 8.00, 29602260
724, 0, 16, 8.00, 29614256
724, 0, 16, 8.00, 29626192
724, 0, 16, 8.00, 29638128
724, 0, 16, 8.00, 29650064
724, 0, 16, 8.00, 29662008
724, 0, 16, 8.00, 29673944
724, 0, 16, 8.00, 29685888
723, -1, 16, 8.00, 29697832
723, 0, 16, 8.00, 29709812
723, 0, 16, 8.00, 29721688
723, 0, 16, 8.00, 29733564
723, 0, 16, 8.00, 29745432
723, 0, 16, 8.00, 29757376
723, 0, 16, 8.00, 29769240
726, 3, 16, 8.00, 29783832
737, 11, 16, 8.00, 29795772
734, -3, 16, 8.00, 29807812
734, 0, 16, 8.00, 29819740
738, 4, 16, 8.00, 29831672
744, 6, 16, 8.00, 29843676
750, 6, 16, 8.00, 29855692
786, 36, 16, 8.00, 29867616
815, 29, 16, 8.00, 29879708
817, 2, 16, 8.00, 29891804
809, -8, 16, 8.00, 29903740
800, -9, 16, 8.00, 29915792
784, -16, 16, 8.00, 29927788
774, -10, 16, 8.00, 29939872
768, -6, 16, 8.00, 29951940
764, -4, 16, 8.00, 29963944
763, -1, 16, 8.00, 29976028
760, -3, 16, 8.00, 29988024
755, -5, 16, 8.00, 30002852
754, -1, 16, 8.00, 30014848
751, -3, 16, 8.00, 30026784
750, -1, 16, 8.00, 30038776
750, 0, 16, 8.00, 30050840
748, -2, 16, 8.00, 30062776
747, -1, 16, 8.00, 30074776
746, -1, 16, 8.00, 30086828
745, -1, 16, 8.00, 30098888
744, -1, 16, 8.00, 30110952
742, -2, 16, 8.00, 30123024
741, -1, 16, 8.00, 30148400
741, 0, 16, 8.00, 30160448
740, -1, 16, 8.00, 30172448
739, -1, 16, 8.00, 30184516
739, 0, 16, 8.00, 30196580
738, -1, 16, 8.00, 30208580
738, 0, 16, 8.00, 30220636
737, -1, 16, 8.00, 30235356
736, -1, 16, 8.00, 30247416
736, 0, 16, 8.00, 30259480
736, 0, 16, 8.00, 30271484
736, 0, 16, 8.00, 30283496
735, -1, 16, 8.00, 30295504
735, 0, 16, 8.00, 30307568
735, 0, 16, 8.00, 30319580
